adjoint fermions	adjoint fermion species
axial current	axial current;A^a_{\mu 5}	renormalisation example in RI-SMOM discussion
B to K@$B\to K$ decay	B \to K;flavour changing neutral current decay $B \to K$	see also flavour-changing neutral current
background chromo-electric field	background chromo-electric field;chromo-electric field
beta function@$\beta$ function	\beta(g);YM $\beta$ function	see also step scaling
beyond the Standard Model (BSM)	BSM scenarios;beyond the SM
bound states	Bound states and nuclei;Compact bound states;binding energy	finite-volume exponential dependence
chiral condensate	chiral condensate
composite Higgs	composite Higgs;Higgs boson as a composite bound state	see also technicolour
correlation function!two-point	two point functions;two-point correlation functions
correlation function!three-point	Three-point correlation functions;three-point functions;three point functions
correlation function!four-point	Four- and higher-point correlation functions
correlation function!hadron-to-vacuum	Two-point hadron-to-vacuum correlation functions;hadron-to-vacuum correlation function
dark matter!self-interacting	self-interacting dark matter;models of dark matter
decay constant	meson decay constants
Delta baryon@$\Delta$ baryon	$\Delta$ baryon;$\Delta$ resonance
distribution amplitude	meson and baryon distribution amplitudes;distribution amplitudes
double-beta decay	p p \to n n e e \nu \nu;p p \to n n e e	second-order weak process, incl. neutrinoless mode
effective field theory!finite-volume matching	finite volume EFT;match energy levels
effective weak Hamiltonian	effective low energy Hamiltonian;H_\text{weak}	see also Wilson coefficients
electroweak precision tests	precision electroweak sector tests	constraint on technicolour
finite volume!energy levels	Finite volume energy levels;energies of non-interacting particles are quantised	see also Lüscher method
finite volume!exponential corrections	exponentially suppressed volume effects;\exp(-m L)
finite volume!quantisation condition	quantisation condition	see also Lüscher method
FLAG	FLAG	Flavour Lattice Averaging Group
flavour-changing neutral current	flavour changing neutral current
form factor	form factors;F_\pi(q^2)
four-quark operator	$4q$ operators;{\cal O}_{4q};$4$ quark effective interaction	appears ch. 14 and ch. 15
g-2@$(g-2)_\mu$	(g-2)_\mu	muon anomalous magnetic moment; see also vacuum polarisation
gA@$g_A$ (nucleon axial charge)	g_A
graphene	graphene
hadronic matrix element	hadronic matrix elements;hadronic matrix element
hadronic tensor	hadronic tensor;DIS
infrared fixed point	IR fixed point;fixed point	see also walking technicolour
isospin breaking	Isospin breaking and QED effects	chapter currently a stub; see also QED corrections
K star meson@$K^*$ meson	$K^*$ meson
