# Master index vocabulary. Edit freely: delete rows, rename keys,
# add aliases (';'-separated). '!' = subentry, '@' = sort key,
# 'SEE:<target>' in the alias column makes a cross-reference entry.
# Then run: python3 tools/apply_index.py
accidental symmetry	Accidental Symmetries;symmetry that emerges in the continuum limit	
action!Euclidean	Euclidean action	
action!fixed-point	fixed point action;S_\text{FP};FP action	see also perfect action
additive mass renormalisation	additive mass shift;additive mass renormalisation	
adjoint fermions	adjoint fermion species	
Adler-Bell-Jackiw anomaly	SEE:axial anomaly	
Aharonov-Bohm phase	Aharanov-Bohm	text misspells "Aharanov"; plaquette as magnetic flux
algorithm!conjugate gradient	conjugate gradient algorithm (CG);CG Algorithm;using CG etc	ch08; also ch13 propagator solves
algorithm!heatbath	Heatbath Algorithm;global heatbath;T_{\text{HB}}	ch08
algorithm!hybrid Monte Carlo	Hybrid Monte-Carlo Algorithm;HMC introduces auxiliary canonical momenta;tailored variants of HMC	main anchor ch08; also ch12 State-of-the-art
algorithm!Langevin	Langevin algorithm	ch08; section is a TODO stub
algorithm!Metropolis	Metropolis Algorithm;Metropolis algorithm;accept-reject	ch08; accept-reject construction anchored here
anisotropic lattice	anisotropic lattice geometry;anisotropy	ch12
anomaly cancellation	anomaly-free fermion content;anomaly-cancelling fermionic representation	
anomaly!covariant gauge	covariant gauge anomaly;{\cal A}^{a}(x)	
anomaly!Witten	Witten anomaly;Witten' anomaly	global obstruction, SU(2)
area law	area law	
autocorrelation	autocorrelation;autocorrelation function;exponential autocorrelation time	ch08
autocorrelation!integrated time	integrated autocorrelation time;\tau_{\text {int}, A}	ch08
auxiliary field	auxiliary field $B$;Introducing an auxiliary field	off-shell nilpotency
axial anomaly	Adler-Bell-Jackiw anomaly;ABJ anomaly;anomalous	arises from measure under lattice chiral rotation
axial current	axial current;A^a_{\mu 5}	renormalisation example in RI-SMOM discussion
B to K@$B\to K$ decay	B \to K;flavour changing neutral current decay $B \to K$	see also flavour-changing neutral current
background chromo-electric field	background chromo-electric field;chromo-electric field	
Baker-Campbell-Hausdorff (BCH) relation	BCH relation	distinct from BCH lattice
beta@$\beta$ (inverse coupling)	\beta=\frac{2 N}{g^{2}}	"inverse coupling" not literal in text; anchor at definition
beta function@$\beta$-function	$\beta$-function;beta functions;\beta(g);YM $\beta$ function	only first two coefficients universal
