algorithm!heatbath	Heatbath Algorithm;global heatbath;T_{\text{HB}}	ch08
algorithm!Metropolis	Metropolis Algorithm;Metropolis algorithm;accept-reject	ch08; accept-reject construction anchored here
algorithm!Langevin	Langevin algorithm	ch08; section is a TODO stub
algorithm!hybrid Monte Carlo	Hybrid Monte-Carlo Algorithm;HMC introduces auxiliary canonical momenta;tailored variants of HMC	main anchor ch08; also ch12 State-of-the-art
algorithm!conjugate gradient	conjugate gradient algorithm (CG);CG Algorithm;using CG etc	ch08; also ch13 propagator solves
HMC, \see{algorithm, hybrid Monte Carlo}	HMC	cross-reference
CG, \see{algorithm, conjugate gradient}	CG	cross-reference
Hamiltonian Monte Carlo, \see{algorithm, hybrid Monte Carlo}	Hamiltonian Monte Carlo	cross-reference; name used in statistics
importance sampling	Importance Sampling;importance sampling fails;importance sampling is inapplicable	ch08 section; also ch12 sign-problem discussion
Markov chain	Markov chain;Markov Chains;Markov process	ch08
Markov chain!transition probability	transition probability	ch08
Markov chain!ergodicity	ergodic;ergodicity	ch08
Markov chain!thermalisation	thermalise;thermalised;thermalisation	ch08
detailed balance	detailed balance;detailed balance condition;balance condition	ch08; balance condition anchored with same entry
autocorrelation	autocorrelation;autocorrelation function;exponential autocorrelation time	ch08
autocorrelation!integrated time	integrated autocorrelation time;\tau_{\text {int}, A}	ch08
independent samples, effective number of	effective number of independent samples;N_\text{indep}	ch08
molecular dynamics	molecular dynamics;Hamilton's equations	ch08, HMC section
leapfrog integrator	leapfrog integrator;leapfrog integration	ch08
symplectic integrator	symplectic, reversible integrator;A symplectic integrator such as leapfrog	ch08; covers reversibility/area preservation
pseudofermions	Pseudofermions;pseudofermion	ch08
fermion determinant	fermion determinant;\operatorname{det}[D[\phi]]	ch08; positivity discussion (Wilson, staggered, GW relation) anchored here
Dirac operator	Dirac operator	ch08
linear solver	Linear System Solvers;Iterative methods;direct solvers	ch08
linear solver!Krylov	Krylov solvers;Krylov space;Kryloy space	ch08; ch13 Rayleigh-Ritz has typo "Kryloy"
linear solver!BiCGstab	BiCG-stab	ch08
condition number	condition number	ch08
preconditioning	preconditioned;even-odd, ILU, SSGR, Schwartz, Multigrid	ch08
preconditioning!multigrid	Multigrid;multigrid fermion inverters	ch08; also ch12 State-of-the-art
deflation	deflated;low eigenvalues of the matrix	ch08
matrix sign function	matrix sign function;Zolotarev rational functions	ch08; overlap fermions context
overlap fermions	Overlap fermions;overlap fermions	ch08; also ch12
Wilson flow	Wilson flow;``Wilson flow''	ch09 (stub chapter);ch12 scale-setting mention
